
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
132  {'class_weight': None, 'criterion': 'entropy',...              0.727273   
133  {'class_weight': None, 'criterion': 'entropy',...              0.779221   
134  {'class_weight': None, 'criterion': 'entropy',...              0.779221   
135  {'class_weight': None, 'criterion': 'entropy',...              0.818182   
136  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
137  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
138  {'class_weight': None, 'criterion': 'entropy',...              0.727273   
139  {'class_weight': None, 'criterion': 'entropy',...              0.766234   
140  {'class_weight': None, 'criterion': 'entropy',...              0.766234   
141  {'class_weight': None, 'criterion': 'entropy',...              0.805195   
142  {'class_weight': None, 'criterion': 'entropy',...              0.779221   
143  {'class_weight': None, 'criterion': 'entropy',...              0.779221   

     split1_test_accuracy  split2_test_accuracy  split3_test_accuracy  \
0                0.776316              0.763158              0.842105   
1                0.776316              0.763158              0.828947   
2                0.763158              0.789474              0.868421   
3                0.736842              0.776316              0.842105   
4                0.750000              0.776316              0.842105   
5                0.763158              0.763158              0.842105   
6                0.750000              0.750000              0.842105   
7                0.723684              0.789474              0.842105   
8                0.736842              0.750000              0.842105   
9                0.723684              0.763158              0.828947   
10               0.736842              0.763158              0.842105   
11               0.736842              0.763158              0.855263   
12               0.763158              0.776316              0.855263   
13               0.763158              0.736842              0.855263   
14               0.763158              0.736842              0.881579   
15               0.750000              0.750000              0.868421   
16               0.776316              0.763158              0.855263   
17               0.789474              0.763158              0.855263   
18               0.750000              0.710526              0.894737   
19               0.750000              0.750000              0.842105   
20               0.763158              0.723684              0.855263   
21               0.776316              0.736842              0.842105   
22               0.776316              0.750000              0.855263   
23               0.789474              0.750000              0.842105   
24               0.763158              0.763158              0.842105   
25               0.776316              0.763158              0.842105   
26               0.763158              0.763158              0.855263   
27               0.750000              0.763158              0.828947   
28               0.750000              0.763158              0.842105   
29               0.763158              0.763158              0.828947   
30               0.736842              0.750000              0.828947   
31               0.723684              0.763158              0.855263   
32               0.750000              0.763158              0.868421   
33               0.750000              0.763158              0.855263   
34               0.750000              0.763158              0.868421   
35               0.750000              0.763158              0.842105   
36               0.776316              0.723684              0.855263   
37               0.763158              0.763158              0.855263   
38               0.736842              0.736842              0.855263   
39               0.763158              0.750000              0.868421   
40               0.763158              0.736842              0.868421   
41               0.763158              0.763158              0.855263   
42               0.750000              0.723684              0.855263   
43               0.736842              0.750000              0.842105   
44               0.763158              0.723684              0.842105   
45               0.750000              0.736842              0.855263   
46               0.750000              0.750000              0.868421   
47               0.750000              0.750000              0.868421   
48               0.763158              0.763158              0.842105   
49               0.763158              0.750000              0.842105   
50               0.750000              0.789474              0.868421   
51               0.750000              0.776316              0.842105   
52               0.736842              0.763158              0.828947   
53               0.763158              0.776316              0.855263   
54               0.750000              0.776316              0.842105   
55               0.750000              0.802632              0.842105   
56               0.736842              0.750000              0.855263   
57               0.750000              0.763158              0.842105   
58               0.750000              0.763158              0.842105   
59               0.736842              0.763158              0.868421   
60               0.763158              0.789474              0.855263   
61               0.763158              0.776316              0.855263   
62               0.750000              0.763158              0.855263   
63               0.750000              0.763158              0.881579   
64               0.789474              0.763158              0.868421   
65               0.776316              0.763158              0.868421   
66               0.750000              0.723684              0.894737   
67               0.789474              0.736842              0.828947   
68               0.789474              0.736842              0.828947   
69               0.776316              0.736842              0.842105   
70               0.776316              0.750000              0.842105   
71               0.763158              0.736842              0.842105   
72               0.763158              0.763158              0.842105   
73               0.776316              0.763158              0.842105   
